DATE,AWAY,,HOME
18/02/1920,TOR 8,vs,MTL 2
21/02/1920,MTL 7,vs,QUE 8
25/02/1920,MTL 3,vs,OTT 6
28/02/1920,QUE 6,vs,MTL 8
03/03/1920,MTL 16,vs,QUE 3
06/03/1920,OTT 4,vs,MTL 3
10/03/1920,TOR 2,vs,MTL 7
13/03/1920,MTL 4,vs,TOR 11
22/12/1920,MTL 0,vs,HAM 5
25/12/1920,MTL 4,vs,TOR 5
29/12/1920,HAM 6,vs,MTL 2
03/01/1921,MTL 2,vs,OTT 8
08/01/1921,OTT 4,vs,MTL 5
12/01/1921,MTL 0,vs,OTT 2
15/01/1921,HAM 4,vs,MTL 6
17/01/1921,TOR 5,vs,MTL 9
19/01/1921,MTL 2,vs,TOR 7
22/01/1921,MTL 7,vs,HAM 5
26/01/1921,OTT 3,vs,MTL 5
29/01/1921,TOR 2,vs,MTL 4
02/02/1921,MTL 5,vs,HAM 6
05/02/1921,MTL 6,vs,TOR 10
09/02/1921,TOR 5,vs,MTL 3
12/02/1921,MTL 3,vs,OTT 1
16/02/1921,HAM 5,vs,MTL 10
19/02/1921,OTT 1,vs,MTL 8
23/02/1921,MTL 3,vs,OTT 1
26/02/1921,HAM 6,vs,MTL 13
28/02/1921,TOR 0,vs,MTL 4
02/03/1921,MTL 7,vs,HAM 1
05/03/1921,OTT 1,vs,MTL 0
07/03/1921,MTL 4,vs,TOR 6
17/12/1921,MTL2,vs,TOR5
21/12/1921,HAM1,vs,MTL3
24/12/1921,MTL0,vs,OTT10
28/12/1921,OTT2,vs,MTL1
31/12/1921,TOR3,vs,MTL5
04/01/1922,MTL3,vs,HAM4
07/01/1922,OTT4,vs,MTL2
11/01/1922,MTL3,vs,HAM2
14/01/1922,HAM6,vs,MTL10
18/01/1922,MTL6,vs,OTT10
21/01/1922,TOR5,vs,MTL3
25/01/1922,MTL1,vs,TOR3
28/01/1922,HAM2,vs,MTL3
01/02/1922,MTL2,vs,OTT4
04/02/1922,MTL1,vs,TOR3
08/02/1922,TOR4,vs,MTL6
11/02/1922,MTL3,vs,HAM1
15/02/1922,OTT6,vs,MTL6
18/02/1922,TOR4,vs,MTL6
22/02/1922,MTL3,vs,OTT4
25/02/1922,HAM1,vs,MTL6
01/03/1922,MTL3,vs,HAM2
04/03/1922,OTT1,vs,MTL2
07/03/1922,MTL8,vs,TOR7
16/12/1922,MTL 2,vs,TOR 7
20/12/1922,HAM 3,vs,MTL 7
23/12/1922,OTT 3,vs,MTL 0
27/12/1922,MTL 2,vs,OTT 2
30/12/1922,TOR 2,vs,MTL 8
03/01/1923,MTL 4,vs,HAM 1
06/01/1923,HAM 3,vs,MTL 2
10/01/1923,MTL 2,vs,OTT 6
13/01/1923,MTL 2,vs,TOR 2
17/01/1923,OTT 1,vs,MTL 2
20/01/1923,TOR 1,vs,MTL 3
24/01/1923,MTL 5,vs,HAM 1
27/01/1923,MTL 2,vs,TOR 4
31/01/1923,HAM 4,vs,MTL 5
03/02/1923,OTT 1,vs,MTL 4
07/02/1923,MTL 0,vs,OTT 3
10/02/1923,TOR 3,vs,MTL 5
14/02/1923,MTL 2,vs,HAM 4
17/02/1923,MTL 0,vs,OTT 2
21/02/1923,HAM 3,vs,MTL 5
24/02/1923,MTL 3,vs,TOR 4
28/02/1923,TOR 0,vs,MTL 3
03/03/1923,OTT 0,vs,MTL 1
05/03/1923,MTL 4,vs,HAM 1
15/12/1923,MTL1,vs,TOR2
19/12/1923,MTL3,vs,HAM1
26/12/1923,MTL2,vs,OTT3
29/12/1923,TOR0,vs,MTL3
02/01/1924,MTL0,vs,HAM4
05/01/1924,HAM1,vs,MTL5
09/01/1924,MTL1,vs,OTT2
12/01/1924,MTL3,vs,TOR5
16/01/1924,OTT1,vs,MTL2
19/01/1924,TOR2,vs,MTL0
21/01/1924,OTT3,vs,MTL2
23/01/1924,MTL1,vs,HAM4
26/01/1924,MTL1,vs,TOR2
30/01/1924,HAM2,vs,MTL5
02/02/1924,OTT0,vs,MTL1
06/02/1924,MTL0,vs,OTT4
09/02/1924,TOR3,vs,MTL5
13/02/1924,MTL3,vs,HAM2
16/02/1924,HAM1,vs,MTL2
21/02/1924,OTT0,vs,MTL3
23/02/1924,MTL0,vs,OTT1
27/02/1924,TOR1,vs,MTL6
03/03/1924,MTL4,vs,TOR1
03/03/1924,HAM3,vs,MTL6
29/11/1924,TOR 1,vs,MTL 7
3/12/1924,MTL 1,vs,OTT 2
8/12/1924,MTL 4,vs,BOS 3
10/12/1924,MAR 0,vs,MTL 5
13/12/1924,HAM 2,vs,MTL 6
17/12/1924,MTL 5,vs,TOR 2
20/12/1924,OTT 2,vs,MTL 3
25/12/1924,BOS 0,vs,MTL 5
27/12/1924,MTL 1,vs,Mar 1
01/01/1925,MTL 2,vs,HAM 4
03/01/1925,MTL 3,vs,TOR 1
07/01/1925,OTT 2,vs,MTL 0
10/01/1925,BOS 3,vs,MTL 2
14/01/1925,MTL 1,vs,Mar 1
17/01/1925,MTL 2,vs,HAM 4
21/01/1925,TOR 4,vs,MTL 2
24/01/1925,MTL 3,vs,OTT 2
27/01/1925,MTL 4,vs,BOS 0
31/01/1925,MAR 0,vs,MTL 5
04/02/1925,HAM 3,vs,MTL 0
07/02/1925,MTL 4,vs,TOR 5
11/02/1925,OTT 3,vs,MTL 10
14/02/1925,BOS 1,vs,MTL 5
18/02/1925,MTL 1,vs,MAR 0
21/02/1925,MTL 2,vs,HAM 1
25/02/1925,TOR 3,vs,MTL 1
28/02/1925,MTL 0,vs,OTT 1
03/03/1925,MTL 2,vs,BOS 3
07/03/1925,Mar 1,vs,MTL 3
09/03/1925,HAM 1,vs,MTL 4
28/11/1925,PIT1,vs,MTL0
1/12/1925,MTL3,vs,BOS2
3/12/1925,Mar3,vs,MTL2
8/12/1925,NYA6,vs,MTL2
12/12/1925,MTL0,vs,TOR4
15/12/1925,MTL3,vs,NYA1
17/12/1925,MTL0,vs,OTT3
19/12/1925,BOS5,vs,MTL6
26/12/1925,OTT3,vs,MTL0
30/12/1925,MTL7,vs,Mar4
01/01/1926,MTL2,vs,PIT1
05/01/1926,TOR4,vs,MTL5
09/01/1926,NYA2,vs,MTL1
12/01/1926,MTL4,vs,BOS2
13/01/1926,MTL2,vs,NYA1
16/01/1926,MTL0,vs,Mar1
19/01/1926,OTT2,vs,MTL1
23/01/1926,MTL2,vs,TOR6
26/01/1926,TOR3,vs,MTL6
28/01/1926,MTL2,vs,OTT4
02/02/1926,Mar2,vs,MTL0
06/02/1926,BOS3,vs,MTL3
09/02/1926,PIT2,vs,MTL4
13/02/1926,MTL0,vs,PIT3
16/02/1926,OTT1,vs,MTL0
18/02/1926,MTL2,vs,OTT4
20/02/1926,BOS3,vs,MTL1
23/02/1926,MTL2,vs,PIT3
24/02/1926,MTL1,vs,NYA6
27/02/1926,NYA1,vs,MTL0
02/03/1926,MTL1,vs,BOS4
06/03/1926,Mar4,vs,MTL3
09/03/1926,PIT4,vs,MTL3
11/03/1926,MTL3,vs,TOR5
13/03/1926,MTL2,vs,Mar4
16/03/1926,TOR1,vs,MTL6
16/11/1926,MTL 1,vs,BOS 4
18/11/1926,OTT 2,vs,MTL 1
20/11/1926,MTL 1,vs,Mar 2
23/11/1926,NYA 0,vs,MTL 2
27/11/1926,NYR 2,vs,MTL 0
2/12/1926,TOR 0,vs,MTL 2
4/12/1926,MTL 1,vs,OTT 4
7/12/1926,Mar 2,vs,MTL 3
9/12/1926,MTL 5,vs,PIT 2
11/12/1926,CHI 3,vs,MTL 0
16/12/1926,BOS 2,vs,MTL 2
18/12/1926,MTL 2,vs,TOR 0
22/12/1926,MTL 3,vs,CHI 1
23/12/1926,MTL 3,vs,DET 2
30/12/1926,PIT 0,vs,MTL 1
01/01/1927,MTL 1,vs,OTT 2
04/01/1927,MTL 3,vs,NYA 6
06/01/1927,MTL 0,vs,NYR 1
08/01/1927,OTT 2,vs,MTL 0
13/01/1927,NYA 1,vs,MTL 3
15/01/1927,MTL 1,vs,MAR 0
18/01/1927,DET 3,vs,MTL 5
22/01/1927,TOR 0,vs,MTL 4
27/01/1927,NYR 3,vs,MTL 2
30/01/1927,MTL 2,vs,NYA 1
01/02/1927,MTL 1,vs,NYR 0
05/02/1927,MAR 0,vs,MTL 1
11/02/1927,MTL 1,vs,CHI 6
12/02/1927,MTL 4,vs,DET 1
15/02/1927,PIT 1,vs,MTL 1
19/02/1927,NYA 0,vs,MTL 3
22/02/1927,MTL 1,vs,OTT 2
24/02/1927,MTL 3,vs,TOR 2
26/02/1927,BOS 0,vs,MTL 2
01/03/1927,DET 0,vs,MTL 3
03/03/1927,CHI 1,vs,MTL 7
05/03/1927,MTL 2,vs,PIT 1
08/03/1927,MTL 1,vs,MAR 0
10/03/1927,TOR 2,vs,MTL 4
15/03/1927,OTT 1,vs,MTL 4
19/03/1927,MAR 0,vs,MTL 5
22/03/1927,MTL 1,vs,BOS 0
24/03/1927,MTL 6,vs,NYA 3
26/03/1927,MTL 1,vs,TOR 2
15/11/1927,MTL 6,vs,NYA 1
19/11/1927,Mar 1,vs,MTL 1
22/11/1927,PIT 0,vs,MTL 4
27/11/1927,MTL 0,vs,DET 2
30/11/1927,MTL 5,vs,CHI 2
3/12/1927,NYA 0,vs,MTL 4
6/12/1927,MTL 1,vs,BOS 1
8/12/1927,TOR 1,vs,MTL 2
11/12/1927,MTL 2,vs,NYR 0
13/12/1927,DET 1,vs,MTL 6
15/12/1927,MTL 2,vs,Mar 1
17/12/1927,BOS 1,vs,MTL 5
22/12/1927,CHI 2,vs,MTL 5
24/12/1927,MTL 2,vs,PIT 2
27/12/1927,MTL 0,vs,OTT 0
31/12/1927,NYR 0,vs,MTL 1
04/01/1928,MTL 3,vs,CHI 1
05/01/1928,MTL 2,vs,DET 1
07/01/1928,MTL 9,vs,TOR 1
10/01/1928,OTT 0,vs,MTL 3
15/01/1928,MTL 3,vs,NYA 1
17/01/1928,MTL 3,vs,BOS 1
21/01/1928,Mar 1,vs,MTL 0
24/01/1928,CHI 0,vs,MTL 10
28/01/1928,OTT 2,vs,MTL 1
31/01/1928,PIT 2,vs,MTL 1
02/02/1928,TOR 4,vs,MTL 3
04/02/1928,MTL 0,vs,MAR 0
07/02/1928,MTL 2,vs,TOR 1
11/02/1928,BOS 1,vs,MTL 1
14/02/1928,NYA 1,vs,MTL 0
18/02/1928,MTL 0,vs,OTT 1
21/02/1928,TOR 0,vs,MTL 0
26/02/1928,MTL 0,vs,NYA 1
28/02/1928,MTL 2,vs,OTT 0
03/03/1928,Mar 3,vs,MTL 2
06/03/1928,MTL 2,vs,PIT 1
08/03/1928,NYR 3,vs,MTL 4
10/03/1928,MTL 3,vs,MAR 0
13/03/1928,MTL 4,vs,NYR 1
15/03/1928,DET 1,vs,MTL 0
17/03/1928,MTL 3,vs,TOR 5
20/03/1928,NYA 0,vs,MTL 5
24/03/1928,OTT 0,vs,MTL 4
15/11/1928,Mar1,vs,MTL3
17/11/1928,MTL2,vs,TOR4
20/11/1928,MTL1,vs,BOS0
22/11/1928,MTL0,vs,PIT0
24/11/1928,NYA4,vs,MTL3
29/11/1928,PIT1,vs,MTL1
1/12/1928,MTL2,vs,OTT0
4/12/1928,TOR3,vs,MTL1
8/12/1928,CHI1,vs,MTL2
13/12/1928,NYR3,vs,MTL2
15/12/1928,MTL0,vs,MAR0
18/12/1928,MTL5,vs,CHI0
20/12/1928,MTL1,vs,DET5
22/12/1928,OTT0,vs,MTL1
27/12/1928,DET0,vs,MTL3
01/01/1929,MTL1,vs,NYA1
03/01/1929,MTL1,vs,OTT1
05/01/1929,MAR0,vs,MTL0
10/01/1929,BOS4,vs,MTL2
12/01/1929,MTL3,vs,Mar1
15/01/1929,CHI0,vs,MTL1
17/01/1929,MTL1,vs,TOR1
19/01/1929,NYR0,vs,MTL0
20/01/1929,MTL1,vs,NYR0
22/01/1929,MTL0,vs,BOS0
24/01/1929,TOR1,vs,MTL1
26/01/1929,MTL2,vs,OTT1
29/01/1929,MTL1,vs,NYA0
02/02/1929,OTT0,vs,MTL1
07/02/1929,DET2,vs,MTL2
10/02/1929,MTL3,vs,NYR3
12/02/1929,MTL2,vs,PIT0
14/02/1929,MTL1,vs,CHI0
16/02/1929,NYA1,vs,MTL1
21/02/1929,MAR0,vs,MTL1
23/02/1929,MTL1,vs,TOR2
26/02/1929,PIT0,vs,MTL4
28/02/1929,MTL0,vs,NYA0
02/03/1929,BOS0,vs,MTL3
07/03/1929,OTT0,vs,MTL3
10/03/1929,MTL1,vs,DET1
12/03/1929,TOR1,vs,MTL2
14/03/1929,MTL1,vs,MAR0
16/03/1929,NYA1,vs,MTL4
14/11/1929,MTL3,vs,OTT3
16/11/1929,CHI4,vs,MTL4
19/11/1929,MTL1,vs,Mar5
21/11/1929,TOR2,vs,MTL3
24/11/1929,MTL3,vs,NYA2
26/11/1929,PIT2,vs,MTL9
30/11/1929,NYA1,vs,MTL3
3/12/1929,MTL1,vs,BOS3
5/12/1929,Mar5,vs,MTL4
7/12/1929,MTL1,vs,TOR0
10/12/1929,DET3,vs,MTL5
12/12/1929,MTL3,vs,NYR8
14/12/1929,OTT4,vs,MTL6
17/12/1929,MTL3,vs,PIT3
19/12/1929,NYR2,vs,MTL7
21/12/1929,MTL1,vs,OTT1
28/12/1929,BOS3,vs,MTL2
01/01/1930,MTL3,vs,CHI2
02/01/1930,MTL0,vs,DET4
04/01/1930,MTL3,vs,TOR4
07/01/1930,Mar2,vs,MTL1
11/01/1930,OTT2,vs,MTL1
16/01/1930,DET1,vs,MTL6
21/01/1930,MTL5,vs,NYA2
25/01/1930,BOS2,vs,MTL1
28/01/1930,MTL3,vs,Mar2
30/01/1930,CHI0,vs,MTL1
01/02/1930,MTL1,vs,OTT4
04/02/1930,TOR1,vs,MTL3
06/02/1930,MTL3,vs,TOR3
08/02/1930,Mar2,vs,MTL2
13/02/1930,OTT4,vs,MTL4
16/02/1930,MTL2,vs,CHI1
18/02/1930,MTL2,vs,DET0
22/02/1930,NYA2,vs,MTL9
25/02/1930,MTL2,vs,NYA4
27/02/1930,TOR2,vs,MTL6
01/03/1930,MTL4,vs,PIT2
04/03/1930,MTL2,vs,BOS5
06/03/1930,MTL0,vs,Mar4
08/03/1930,NYR0,vs,MTL6
11/03/1930,MTL3,vs,NYR3
13/03/1930,PIT2,vs,MTL2
18/03/1930,NYA3,vs,MTL8
15/11/1930,OTT1,vs,MTL5
18/11/1930,MTL2,vs,BOS5
20/11/1930,Mar1,vs,MTL7
23/11/1930,MTL0,vs,CHI3
27/11/1930,MTL2,vs,DET3
29/11/1930,BOS2,vs,MTL3
2/12/1930,MTL2,vs,PHI0
4/12/1930,NYR4,vs,MTL5
7/12/1930,MTL3,vs,NYA2
9/12/1930,TOR1,vs,MTL2
11/12/1930,MTL5,vs,OTT4
13/12/1930,NYA1,vs,MTL1
18/12/1930,CHI0,vs,MTL0
23/12/1930,MTL1,vs,NYR5
27/12/1930,OTT5,vs,MTL8
30/12/1930,MTL1,vs,Mar1
03/01/1931,MTL1,vs,TOR2
06/01/1931,DET6,vs,MTL2
08/01/1931,MTL2,vs,NYA1
10/01/1931,TOR1,vs,MTL6
13/01/1931,MTL2,vs,PHI1
15/01/1931,Mar1,vs,MTL4
17/01/1931,MTL1,vs,TOR3
20/01/1931,MTL3,vs,NYR2
22/01/1931,MTL3,vs,OTT0
24/01/1931,NYA1,vs,MTL6
29/01/1931,PHI1,vs,MTL7
01/02/1931,MTL4,vs,CHI2
03/02/1931,TOR1,vs,MTL2
05/02/1931,MTL4,vs,Mar4
07/02/1931,BOS2,vs,MTL1
15/02/1931,MTL2,vs,NYA0
17/02/1931,MAR0,vs,MTL2
19/02/1931,MTL1,vs,BOS1
21/02/1931,NYA4,vs,MTL6
26/02/1931,DET0,vs,MTL5
28/02/1931,MTL5,vs,TOR5
03/03/1931,MTL1,vs,OTT0
05/03/1931,NYR2,vs,MTL1
08/03/1931,MTL2,vs,DET0
10/03/1931,CHI1,vs,MTL2
12/03/1931,MTL0,vs,Mar3
14/03/1931,OTT3,vs,MTL3
21/03/1931,PHI4,vs,MTL4
12/11/1931,NYR4,vs,MTL1
14/11/1931,MTL1,vs,TOR1
17/11/1931,Mar2,vs,MTL5
21/11/1931,BOS0,vs,MTL3
24/11/1931,MTL1,vs,BOS7
26/11/1931,TOR2,vs,MTL3
29/11/1931,MTL2,vs,DET3
2/12/1931,MTL1,vs,CHI2
5/12/1931,DET0,vs,MTL4
8/12/1931,CHI1,vs,MTL1
10/12/1931,MTL3,vs,NYA0
12/12/1931,MTL1,vs,Mar7
17/12/1931,NYA0,vs,MTL1
19/12/1931,NYR2,vs,MTL2
22/12/1931,MTL2,vs,NYR6
24/12/1931,TOR2,vs,MTL1
26/12/1931,MTL2,vs,TOR0
31/12/1931,MTL0,vs,BOS5
02/01/1932,Mar1,vs,MTL5
05/01/1932,NYA2,vs,MTL1
07/01/1932,MTL0,vs,NYA1
10/01/1932,MTL1,vs,DET3
13/01/1932,MTL2,vs,CHI1
16/01/1932,BOS2,vs,MTL2
19/01/1932,MTL5,vs,NYR3
21/01/1932,TOR1,vs,MTL3
23/01/1932,MTL0,vs,TOR2
26/01/1932,MTL2,vs,NYA3
28/01/1932,MTL3,vs,Mar3
30/01/1932,DET3,vs,MTL4
02/02/1932,MTL4,vs,NYR1
04/02/1932,Mar5,vs,MTL6
09/02/1932,MTL1,vs,Mar4
11/02/1932,CHI1,vs,MTL4
13/02/1932,NYR1,vs,MTL3
17/02/1932,MTL3,vs,CHI1
21/02/1932,MTL1,vs,DET1
23/02/1932,DET1,vs,MTL2
27/02/1932,BOS2,vs,MTL4
01/03/1932,MTL6,vs,BOS7
03/03/1932,Mar1,vs,MTL2
05/03/1932,MTL1,vs,TOR1
08/03/1932,NYA1,vs,MTL6
12/03/1932,CHI0,vs,MTL1
15/03/1932,MTL2,vs,NYA5
17/03/1932,NYA4,vs,MTL10
19/03/1932,MTL6,vs,Mar4
22/03/1932,TOR2,vs,MTL4
12/11/1932,BOS4,vs,MTL0
17/11/1932,DET0,vs,MTL1
20/11/1932,MTL1,vs,CHI2
22/11/1932,MTL2,vs,DET4
24/11/1932,MTL0,vs,TOR2
26/11/1932,CHI1,vs,MTL2
1/12/1932,Mar5,vs,MTL4
4/12/1932,MTL2,vs,NYA4
6/12/1932,MTL3,vs,NYR5
8/12/1932,MTL0,vs,OTT2
10/12/1932,OTT2,vs,MTL3
13/12/1932,NYR1,vs,MTL1
17/12/1932,MTL3,vs,Mar1
20/12/1932,TOR2,vs,MTL1
24/12/1932,NYA0,vs,MTL4
27/12/1932,MTL0,vs,BOS1
29/12/1932,DET3,vs,MTL3
01/01/1933,MTL1,vs,CHI4
05/01/1933,MTL1,vs,DET6
07/01/1933,OTT0,vs,MTL1
12/01/1933,CHI2,vs,MTL4
17/01/1933,MTL2,vs,OTT3
19/01/1933,MTL1,vs,NYR2
21/01/1933,BOS2,vs,MTL5
24/01/1933,MTL2,vs,BOS3
26/01/1933,NYA1,vs,MTL1
28/01/1933,MTL2,vs,TOR4
31/01/1933,OTT1,vs,MTL3
